FUA code,FUA name,FUA-code,X,Y,C_urban woody feature_FUA_%
IT054,Matera,*,16.5867004,40.5937996,26.273387866
IT056,Acireale,IT056,15.1554003,37.6493988,58.932771966
IT057,Avellino,IT057,14.835,40.9322014,78.962071770
IT058,Pordenone,IT058,12.6796999,45.9682007,9.525750154
IT060,Lecco,IT060,9.4105101,45.8857002,66.334000277
IT061,Altamura,*,16.5503006,40.8596992,9.135557508
IT064,Battipaglia,IT064,14.9530001,40.5973015,15.440446411
IT065,Bisceglie,*,16.4855003,41.2057991,68.169030662
IT066,Carpi,IT066,10.8921003,44.8224983,8.515556048
IT067,Cerignola,*,15.8774004,41.2784996,15.225737251
